"No.","Time","Source","Destination","Protocol","Length","Info"
"373","2.279427000","fe80::a614:37ff:febd:e390","ff02::1:ffbd:e390","ICMPv6","86","Multicast Listener Report"
"374","2.284593000","Dell_06:25:04","Broadcast","ARP","60","Who has 10.10.11.202?  Tell 10.10.11.206"
"375","2.288745000","fe80::9ade:d0ff:fefe:1fe3","ff02::1:fffe:1fe3","ICMPv6","86","Multicast Listener Report"
"376","2.292495000","10.10.13.117","239.255.255.250","SSDP","165","M-SEARCH * HTTP/1.1 "
"377","2.292520000","10.10.13.117","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"378","2.297312000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M9.UUHEFJT.NET<00>"
"379","2.312658000","fe80::725b:60a7:3203:c94c","ff02::fb","MDNS","93","Standard query 0x0000  A linux-4.local, ""QM"" question"
"380","2.312755000","10.10.12.55","224.0.0.251","MDNS","73","Standard query 0x0000  A linux-4.local, ""QM"" question"
"381","2.313575000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M41.KHBUTLA.CC<00>"
"382","2.323963000","192.168.0.1","239.255.255.250","SSDP","326","NOTIFY * HTTP/1.1 "
"383","2.328563000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M2.GUEGYRO.COM<00>"
"384","2.344182000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M42.XGZGXHB.IN<00>"
"385","2.346577000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M13.UASRGDQ.IN<00>"
"386","2.351707000","10.10.10.166","172.217.166.35","TLSv1.2","112","Application Data"
"387","2.353239000","10.10.11.171","10.10.15.255","NBNS","92","Name query NB EXAM<1b>"
"388","2.354211000","HonHaiPr_01:86:2e","Broadcast","ARP","60","Who has 10.0.8.104?  Tell 10.10.15.219"
"389","2.360363000","10.10.11.194","225.6.7.8","IGMPv2","64","Membership Report group 225.6.7.8"
"390","2.372311000","fe80::726d:ecff:fe02:14e","ff02::1:ff02:14e","ICMPv6","86","Multicast Listener Report"
"391","2.375431000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M36.OIEHLBP.ORG<00>"
"392","2.381575000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M7.ZJUBGPI.COM<00>"
"393","2.385686000","172.217.166.35","10.10.10.166","TCP","66","https > 56468 [ACK] Seq=1 Ack=47 Win=263 Len=0 TSval=356944847 TSecr=10111573"
"394","2.385729000","172.217.166.35","10.10.10.166","TLSv1.2","112","Application Data"
"395","2.406991000","fe80::2e6e:85ff:fed6:819d","ff02::1:ffd6:819d","ICMPv6","86","Multicast Listener Report"
"396","2.415324000","fe80::3409:155b:df3a:8154","ff02::1:ff3a:8154","ICMPv6","86","Multicast Listener Report"
"397","2.420438000","10.10.10.72","224.0.0.251","MDNS","167","Standard query response 0x0000  TXT, cache flush"
"398","2.425093000","10.10.10.166","172.217.166.35","TCP","66","56468 > https [ACK] Seq=47 Ack=47 Win=1316 Len=0 TSval=10111647 TSecr=356944847"
"399","2.428037000","192.168.0.1","239.255.255.250","SSDP","381","NOTIFY * HTTP/1.1 "
"400","2.435375000","fe80::f68e:38ff:fe87:4111","ff02::1:ff87:4111","ICMPv6","86","Multicast Listener Report"
"401","2.453613000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M28.YSCDPTR.COM<00>"
"402","2.458696000","192.168.0.1","239.255.255.250","SSDP","307","NOTIFY * HTTP/1.1  "
"403","2.458728000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"404","2.458735000","192.168.0.1","239.255.255.250","SSDP","379","NOTIFY * HTTP/1.1  "
"405","2.460008000","192.168.0.1","239.255.255.250","SSDP","371","NOTIFY * HTTP/1.1  "
"406","2.460038000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"407","2.460045000","192.168.0.1","239.255.255.250","SSDP","355","NOTIFY * HTTP/1.1  "
"408","2.461313000","192.168.0.1","239.255.255.250","SSDP","387","NOTIFY * HTTP/1.1  "
"409","2.461343000","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1  "
"410","2.461350000","192.168.0.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"411","2.462864000","192.168.0.1","239.255.255.250","SSDP","381","NOTIFY * HTTP/1.1  "
"412","2.462895000","192.168.0.1","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1  "
"413","2.462901000","192.168.0.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1  "
"414","2.462906000","192.168.0.1","239.255.255.250","SSDP","303","NOTIFY * HTTP/1.1  "
"415","2.464452000","192.168.0.1","239.255.255.250","SSDP","312","NOTIFY * HTTP/1.1  "
"416","2.464483000","192.168.0.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1  "
"417","2.464489000","192.168.0.1","239.255.255.250","SSDP","377","NOTIFY * HTTP/1.1  "
"418","2.469199000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M37.SENMMPX.COM<00>"
"419","2.484808000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M39.WPAKOLU.COM<00>"
"420","2.500931000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M6.JQPNNIB.COM<00>"
"421","2.513364000","fe80::6508:d80c:c8ce:134c","ff02::1:ffce:134c","ICMPv6","86","Multicast Listener Report"
"422","2.514213000","fe80::cc1a:c738:d06e:13d","ff02::1:ff6e:13d","ICMPv6","86","Multicast Listener Report"
"423","2.522232000","fe80::726d:ecff:fe02:21b","ff02::1:ff02:21b","ICMPv6","86","Multicast Listener Report"
"424","2.527847000","10.10.14.167","10.10.15.255","BROWSER","234","Browser Election Request"
"425","2.528697000","10.10.10.64","10.10.15.255","NBNS","92","Name query NB VLSI01<20>"
"426","2.528784000","fe80::7a45:c4ff:fe29:ea8","ff02::1:ff29:ea8","ICMPv6","86","Multicast Listener Report"
